sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
16085274000160,AVENIDA TANCREDO NEVES,SN,65293000,CENTRO,AMAPA DO MARANHAO,MA,"-1,6747183","-46,0039971"
16043134000120,AVENIDA GOVERNADOR VALADARES,181,35473000,CENTRO,BELO VALE,MG,"-20,4116712","-44,0229747"
5883311000160,AVENIDA GETULIO VARGAS,623B,65901450,CENTRO,IMPERATRIZ,MA,"-5,5313689","-47,4843103"
1850823000250,AVENIDA PEDRO ADAMS FILHO,5063,93320006,INDUSTRIAL,NOVO HAMBURGO,RS,"-29,6877473","-51,1293094"
15542504000100,RUA NEREU LIBERATO NUNES,479,88370232,CENTRO,NAVEGANTES,SC,"-26,8913816","-48,6545226"
93412476000110,RUA NINO MARSIAJ,710,95060500,ANA RECH,CAXIAS DO SUL,RS,"-29,1092957","-51,0821586"
9084009000100,RUA RUBENS GUELLI,134,41815903,ITAIGARA,SALVADOR,BA,"-12,9949291","-38,4709155"
10428907000100,AVENIDA JOAO DURVAL CARNEIRO,,44051335,SAO JOAO,FEIRA DE SANTANA,BA,"-12,2547072","-38,950363"
47305339000160,AVENIDA AGUIA DE HAIA,4339,03694000,PONTE RASA,SAO PAULO,SP,"-23,5081636","-46,4779578"
1692896000180,RUA DOUTOR FLAVINHO,284,75800034,SETOR CENTRAL,JATAI,GO,"-17,8816725","-51,7089848"
13778820000150,QNM 24 CONJUNTO J,SN,71727020,CEILANDIA NORTE CEILANDIA,BRASILIA,DF,"-15,801519","-47,860297"
76679745000190,RUA JOAO AMADEU PEDRO BOM,387,81940080,TATUQUARA,CURITIBA,PR,"-25,5510735","-49,2964793"
13884902000180,AVENIDA MANOEL DA NOBREGA,220,11250000,JARDIM LIDO,BERTIOGA,SP,"-23,8435965","-46,136627"
8563298000150,FAZENDA LARANJEIRAS DOS COSMOS,SN,59162000,SAO JOSE DE MIPIBU,SAO JOSE DE MIPIBU,RN,"-6,0777029","-35,2420083"
79415287000170,RUA TREZE DE MAIO,45,88802290,COMERCIARIO,CRICIUMA,SC,"-28,6819068","-49,3669411"
12072950000100,RUA JOAO TEIXEIRA NETO,72,12246160,PARQUE RESIDENCIAL AQUARIUS,SAO JOSE DOS CAMPOS,SP,"-23,2182033","-45,9044978"
7473450000140,VIA HAMLETO STAMATO,26,14711200,JARDIM DAS LARANJEIRAS,BEBEDOURO,SP,"-20,9404405","-48,4680011"
11761331000160,RUA FRANCISCO JOAO CARLOS EBERL,374,13045160,JARDIM SAO VICENTE,CAMPINAS,SP,"-22,9465945","-47,0276135"
13073512000120,AVENIDA JOAO JANUARIO MAGALHAES,85,37133774,PINHEIRINHO,ALFENAS,MG,"-21,4232604","-45,9759818"
4951761000180,AVENIDA SANTO ANTONIO,315,55700000,CENTRO,LIMOEIRO,PE,"-7,8797248","-35,455382"
10920681000160,AVENIDA JK,1650,35030210,SAO PAULO,GOVERNADOR VALADARES,MG,"-18,8750487","-41,9599042"
7199379000150,RUA BRIGADEIRO ROCHA,444,85012260,TRIANON,GUARAPUAVA,PR,"-25,400652","-51,4524517"
